executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
1,27341,8,8,false,24,0.6,0.6275634765625,9,false,15,200,100,4.1904296875,0.186767578125,4,lz4,64,27,true,82,64,50,93,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,220.595
1,25600,8,8,false,22,0.6,0.542724609375,11,false,55,167,100,2.302734375,0.75,77,lz4,64,32,true,95,49,463,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,219.683
1,25600,8,8,false,79,0.6,0.5,8,false,48,395,48,1.24853515625,0.75,71,lz4,64,32,true,52,8,478,105,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,221.8
1,25600,8,8,false,76,0.6,0.5,6,false,48,200,93,1.183837890625,0.75,111,lz4,75,39,true,85,113,50,177,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,214.002
1,43134,8,8,false,10,0.65045166015625,0.5,26,false,48,446,100,3.60986328125,0.7569580078125,4,lz4,79,70,true,77,64,361,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,427.805
10,31846,42,25,false,77,0.6369860091588877,0.8048765050146987,89,false,73,969,51,3.2813588879847893,0.4988524850948619,61,lz4,79,97,false,31,15,346,299,3,false,true,true,false,org.apache.spark.serializer.JavaSerializer,181.34900000000002
1,31282,8,8,false,58,0.6,0.5,80,false,48,655,100,4.740966796875,0.50689697265625,88,lz4,64,11,true,92,64,153,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,313.04200000000003
1,25600,8,8,false,61,0.6,0.5,97,false,48,198,100,3.25146484375,0.4876708984375,79,lz4,104,65,true,63,64,354,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,213.623
1,27118,8,8,false,75,0.6,0.72723388671875,117,false,48,871,100,1.55224609375,0.75,32,lz4,83,72,true,64,64,278,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,213.699
1,38818,8,8,false,10,0.6,0.5,89,false,62,280,41,1.5,0.0697021484375,48,lz4,64,70,true,27,64,92,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,439.85400000000004
1,36074,8,8,false,10,0.6,0.5,47,false,74,145,100,1.5,0.96136474609375,34,lz4,64,122,true,41,64,290,430,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,335.744
1,26668,8,8,false,85,0.6,0.5,30,false,48,400,100,1.5,0.0047607421875,49,lz4,93,67,true,53,64,417,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,214.90599999999998
5,34053,8,8,false,42,0.6,0.5,32,false,48,821,100,2.30712890625,0.5045166015625,65,lz4,89,58,true,16,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,164.553
13,42362,8,8,false,47,0.6,0.7906494140625,66,false,23,737,100,1.5,0.75,4,lz4,64,86,true,64,64,50,120,8,true,true,true,false,org.apache.spark.serializer.JavaSerializer,181.58
7,34818,44,38,false,64,0.6727837002236638,0.8688282998880879,89,true,71,952,65,3.7419408188928047,0.5490279045887171,6,lz4,109,115,false,75,67,370,291,7,false,true,true,false,org.apache.spark.serializer.KryoSerializer,152.006
13,29211,8,8,false,15,0.6,0.5,73,false,48,200,95,2.75634765625,0.5740966796875,61,lz4,64,88,true,64,38,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,163.408
1,35191,8,25,false,22,0.68817138671875,0.5,38,false,48,871,100,4.82470703125,0.5821533203125,4,lz4,64,61,true,64,64,50,386,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,376.87699999999995
1,37981,8,24,false,56,0.65740966796875,0.5,34,false,48,202,100,3.95361328125,0.3897705078125,4,lz4,64,18,true,64,64,50,169,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,514.448
4,27638,30,12,true,40,0.642586453500115,0.8485773995017327,58,false,87,492,83,2.427228955920764,0.10818465991720234,94,lz4,81,16,true,12,61,442,201,6,true,true,false,false,org.apache.spark.serializer.JavaSerializer,139.247
7,29312,8,8,false,57,0.9161376953125,0.5,64,false,48,106,14,1.5,0.75,4,lz4,64,9,true,103,39,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,151.116
7,25600,8,8,false,59,0.59869384765625,0.77618408203125,122,false,123,797,100,1.5,0.5106201171875,4,lz4,83,32,true,64,64,239,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,154.049
1,43767,8,8,false,69,0.6,0.514190673828125,32,false,48,200,80,4.358642578125,0.30169677734375,4,lz4,113,80,true,64,92,324,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,424.54400000000004
8,37802,8,8,false,70,0.6,0.512664794921875,32,false,48,653,84,4.945068359375,0.05792236328125,11,lz4,64,32,true,64,49,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,175.295
1,28327,8,27,false,44,0.6,0.818603515625,32,false,20,200,100,3.208984375,0.75,4,lz4,127,7,true,52,64,50,360,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,331.704
1,30447,8,25,false,55,0.6,0.808563232421875,32,false,4,200,100,1.784912109375,0.40228271484375,32,lz4,64,32,true,26,64,50,296,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,355.361
1,33209,8,40,false,96,0.6,0.6090087890625,32,false,16,200,100,4.0888671875,0.532470703125,49,lz4,64,11,true,64,64,214,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,401.096
1,39124,8,16,false,39,0.6,0.67669677734375,32,false,41,200,100,2.57958984375,0.9683837890625,31,lz4,64,32,true,48,64,50,286,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,486.10400000000004
1,31288,8,42,false,10,0.6,0.541015625,32,false,83,200,100,3.046875,0.05859375,58,lz4,64,32,true,15,64,470,438,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,370.045
15,36754,8,15,false,84,0.6,0.5,32,false,113,200,100,4.301513671875,0.96844482421875,4,lz4,64,2,true,64,64,431,101,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,188.239
5,35675,24,8,false,98,0.5233154296875,0.8770751953125,32,false,27,448,100,1.5,0.75,4,lz4,64,32,true,88,64,50,215,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,166.097
1,25929,8,26,false,67,0.574676513671875,0.554107666015625,32,false,48,200,100,1.085693359375,0.35247802734375,4,lz4,64,7,true,64,64,187,137,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,261.889
1,33854,8,8,false,85,0.673492431640625,0.998870849609375,32,false,87,200,77,1.5,0.79656982421875,4,lz4,89,106,true,64,64,273,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,335.334
1,36667,8,23,false,90,0.74969482421875,0.79412841796875,32,false,104,200,64,1.5,0.8497314453125,4,lz4,82,32,true,64,64,50,162,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,525.148
12,43064,8,8,false,55,0.8365478515625,0.7479248046875,32,false,84,200,71,1.5,0.75,4,lz4,85,32,true,64,64,171,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,168.468
1,26928,8,48,false,10,0.6,0.927642822265625,32,false,110,316,100,4.842041015625,0.75,4,lz4,65,37,true,64,64,443,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,276.88599999999997
14,42478,8,27,false,10,0.6,0.5,32,false,45,587,100,2.559326171875,0.86492919921875,4,lz4,120,63,true,64,64,346,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,173.412
1,34224,8,39,false,94,0.6,0.85113525390625,32,false,48,200,100,2.35595703125,0.75,4,lz4,95,119,true,122,57,50,254,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,386.649
15,31078,8,8,false,66,0.6,0.5,32,false,36,200,100,4.29443359375,0.9168701171875,4,lz4,71,109,true,60,102,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,177.747
1,33095,8,8,false,10,0.681060791015625,0.984222412109375,32,false,120,830,100,1.5,0.60821533203125,4,lz4,64,32,true,86,34,342,80,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,343.07199999999995
1,29350,8,8,false,90,0.6,0.92840576171875,32,false,77,966,100,2.41162109375,0.9498291015625,4,lz4,64,32,true,10,52,50,126,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,305.499
